,MAX,MIN
2011,54,0
2012,34,4
2013,57,0
2014,16,6
2015,34,0
2016,42,0
2017,48,6
2018,11,0
2019,20,10
2020,14,0
2021,4,0
2022,0,0
2023,12,4
2024,34,5
2025,24,0
2026,6,4
2027,18,0
2028,6,4
2029,64,0
2030,14,0
2031,52,0
2032,18,14
2033,25,0
2034,38,0
2035,27,4
2036,42,0
2037,6,6
2038,18,4
2039,6,0
2040,23,8
2041,0,0
2042,30,12
2043,2,2
2044,22,0
2045,19,0
2046,15,6
2047,32,0
2048,24,0
2049,23,6
2050,8,6
2051,42,0
2052,42,0
2053,41,6
2054,6,0
2055,28,6
2056,6,0
2057,6,0
2058,6,0
2059,0,0
2060,10,0
2061,6,0
2062,6,0
2063,8,0
2064,4,0
2065,0,0
2066,6,6
2067,22,0
2068,21,12
2069,22,0
2070,10,0
2071,6,0
2072,12,4
2073,20,12
2074,14,0
2075,18,0
2076,0,0
2077,9,0
2078,21,0
2079,14,8
2080,34,0
2081,28,0
2082,20,0
2083,100,0
2084,12,0
2085,28,0
2086,6,0
2087,43,0
2088,22,0
2089,29,5
2090,23,5
2091,24,0
2092,32,0
2093,22,0
2094,47,0
2095,41,0
2096,18,0
2097,21,0
2098,11,0
2099,41,0
2100,6,0
2101,18,0
2102,12,0
2103,28,6
2104,50,0
2105,18,0
2106,8,0
2107,12,0
2108,19,0
2109,5,0
2110,47,0
2111,40,0
2112,21,0
2113,16,0
2114,5,0
2115,6,0
2116,24,0
2117,48,0
2118,0,0
2119,45,0
2120,6,0
2121,52,0
2122,5,0
2123,42,0
2124,11,6
2125,40,0
2126,57,0
2127,5,0
2128,21,0
2129,30,0
2130,22,0
2131,16,0
2132,21,0
2133,50,0
2134,34,0
2135,29,6
